ticker,next_day_forecast,next_n_days_forecast,max_n_days_forecast,min_n_days_forecast,avg_n_days_forecast,mse,mape,current_price,current_rsi,model_type,gain_per_share,baseline_shares_purchased,baseline_total_gain
LDI,1.8951935768127441,"[1.8951935768127441, 1.7508846521377563, 1.8262755870819092, 1.7060941457748413, 1.7211847305297852, 1.7255122661590576, 1.7323559522628784, 1.7625669240951538, 1.7750434875488281, 1.6729146242141724, 1.7526278495788574, 1.6415162086486816, 1.6880216598510742, 1.6907501220703125, 1.6806211471557617, 1.7797738313674927, 1.7620575428009033, 1.657060146331787, 1.7189035415649414, 1.6260544061660767]",1.8951935768127441,1.6260544061660767,1.7282706201076508,0.14679342578546084,15.432101318395604,2.0199999809265137,31.818184281182013,timesfm,-0.2917293608188629,495.0,-140.07385259717702
IVZ,26.233627319335938,"[26.233627319335938, 26.19321632385254, 26.234359741210938, 26.17631721496582, 26.15656852722168, 26.11444664001465, 26.119129180908203, 26.128971099853516, 26.180805206298828, 26.157861709594727, 26.205120086669922, 26.17568016052246, 26.17747688293457, 26.131471633911133, 26.143383026123047, 26.186410903930664, 26.201608657836914, 26.1585693359375, 26.213180541992188, 26.22738265991211]",26.234359741210938,26.11444664001465,26.175779342651367,1.1767679101205428,3.5379320329444846,26.469999313354492,43.36892696236679,timesfm,-0.294219970703125,37.0,-10.559554748535156
UWMC,4.276283264160156,"[4.276283264160156, 4.161794662475586, 4.224357604980469, 4.1790266036987305, 4.163989067077637, 4.222614288330078, 4.267107009887695, 4.344970226287842, 4.384213447570801, 4.252179145812988, 4.333840847015381, 4.285843372344971, 4.335214138031006, 4.386558532714844, 4.409319877624512, 4.463122844696045, 4.544886589050293, 4.3563055992126465, 4.419195652008057, 4.341771602630615]",4.544886589050293,4.161794662475586,4.317629718780518,0.6819374037057401,15.18215895758162,4.619999885559082,41.618500614926816,timesfm,-0.3023701667785641,216.0,-63.35259734344475
KIM,22.962718963623047,"[22.962718963623047, 22.806819915771484, 22.912221908569336, 22.66646957397461, 22.761211395263672, 22.65805435180664, 22.768173217773438, 22.860401153564453, 22.96998405456543, 22.825658798217773, 22.902244567871094, 22.756616592407227, 22.826875686645508, 22.780492782592773, 22.884510040283203, 22.996402740478516, 23.10688591003418, 22.926332473754883, 23.061786651611328, 22.842924118041992]",23.10688591003418,22.65805435180664,22.86383924484253,2.037932788554099,5.3453322259554605,23.170000076293945,74.35897093894886,timesfm,-0.3061608314514146,43.0,-12.769968279838503
ITUB,9.291614532470703,"[9.291614532470703, 9.22464370727539, 9.24850082397461, 9.233600616455078, 9.227017402648926, 9.210599899291992, 9.219253540039062, 9.250701904296875, 9.245733261108398, 9.199983596801758, 9.208656311035156, 9.1892728805542, 9.17593765258789, 9.139151573181152, 9.176076889038086, 9.18063735961914, 9.175870895385742, 9.14820671081543, 9.158039093017578, 9.148489952087402]",9.291614532470703,9.139151573181152,9.202599430084229,1.776489141895843,13.671914529584356,9.510000228881836,69.32773951058053,timesfm,-0.30740079879760707,105.0,-31.30877135753628
ADT,7.940150260925293,"[7.940150260925293, 7.72432804107666, 8.026426315307617, 7.35365104675293, 7.272143363952637, 7.423231601715088, 7.468475818634033, 7.570030212402344, 7.597823143005371, 7.51218318939209, 7.715210914611816, 7.3429155349731445, 7.63859748840332, 7.432323932647705, 7.703854084014893, 7.92703914642334, 7.865634918212891, 7.527167797088623, 7.602296829223633, 7.267779350280762]",8.026426315307617,7.267779350280762,7.595563149452209,0.04463083604499616,2.1769008407137824,7.909999847412109,47.13375428621759,timesfm,-0.31443669795990026,126.0,-38.43045322465901
ULCC,5.023126602172852,"[5.023126602172852, 4.79243278503418, 4.939080238342285, 4.521306991577148, 4.562840938568115, 4.598183631896973, 4.698825836181641, 4.87831974029541, 4.9281005859375, 4.780145645141602, 4.98587703704834, 4.696587562561035, 4.935638427734375, 4.901118755340576, 5.0060296058654785, 5.234026908874512, 5.290949821472168, 4.987592697143555, 5.107468605041504, 4.688741683959961]",5.290949821472168,4.521306991577148,4.87781970500946,4.818567680125343,37.79778932069548,5.210000038146973,57.054458469307676,timesfm,-0.3321803331375124,191.0,-61.54305032038692
NEM,121.98534393310547,"[121.98534393310547, 121.3121566772461, 121.7867431640625, 121.33667755126953, 121.69824981689453, 121.65950012207031, 122.2701644897461, 122.64676666259766, 122.45713806152344, 122.18411254882812, 122.23320007324219, 121.82884216308594, 122.0079345703125, 121.41051483154297, 121.61439514160156, 121.41068267822266, 121.7972183227539, 121.4273452758789, 121.5010757446289, 121.38706970214844]",122.64676666259766,121.3121566772461,121.79775657653809,43.92962537877612,4.490782658892503,122.12999725341797,59.1436020663843,timesfm,-0.33224067687987713,8.0,-2.5781876525878467
UP,0.49548816680908203,"[0.49548816680908203, 0.284329891204834, 0.33454227447509766, 0.07571697235107422, 0.10163092613220215, 0.22709226608276367, 0.2629733085632324, 0.33425307273864746, 0.37987518310546875, 0.22812128067016602, 0.35368895530700684, 0.09071111679077148, 0.26533055305480957, 0.36158132553100586, 0.28504514694213867, 0.5040521621704102, 0.47898411750793457, 0.23271894454956055, 0.29048776626586914, 0.043396711349487305]",0.5040521621704102,0.043396711349487305,0.28150100708007814,0.07510764151061551,33.30635696390685,0.6140000224113464,48.14900829707108,timesfm,-0.3324990153312683,1628.0,-525.0691450505257
GNW,8.585088729858398,"[8.585088729858398, 8.520174980163574, 8.528230667114258, 8.457006454467773, 8.449155807495117, 8.429064750671387, 8.471046447753906, 8.458829879760742, 8.48150634765625, 8.419485092163086, 8.458593368530273, 8.400344848632812, 8.401278495788574, 8.384729385375977, 8.414462089538574, 8.421335220336914, 8.448501586914062, 8.384967803955078, 8.423395156860352, 8.377973556518555]",8.585088729858398,8.377973556518555,8.445758533477782,0.4804273810128848,7.198146854941675,8.779999732971191,65.06847838653987,timesfm,-0.3342411994934089,113.0,-36.636177876472544
